Theme	ParentTheme	Domain	Tags	RelatedThemes	Definition	Example
the importance of not displaying weakness	the art of war	the pursuit of knowledge			The ramifications of displaying weakness in front of one’s enemy is featured.	"Spcok argued rationally for attack in tos1x08 ""Balance of Terror"", because anything else would be a sign of weakness."
equal career opportunities for women	the battle of the sexes	society			The problem women have in finding the same career opportunities as men in a male dominated society is featured.	"Dr. Janice Lester was convinced that Captain Kirk had had the career she had not, only because of their respective genders in tos3x24 ""Turnabout Intruder""."
female independence	the battle of the sexes	society			The woman struggle to become less dependent on others, particularly men, is featured.	"Female android Rayna was perhaps oppressively tied to her father and suitor Flint in tos3x21 ""Requiem for Methuselah""."
girl power	the battle of the sexes	society			The idea that women are more capable of feats than perhaps society and themselves give them credit for.	
man vs. woman	the battle of the sexes	society			There is competition between a man and a woman, and emphasis on the different advantages and disadvantages associated with their respective genders.	
mother's right to determine pregnancy	the battle of the sexes	society			The notion that an expecting mother should have the sole right to decide whether or not she will carry a pregnancy to term is featured.	"The senior officers discussed what to do about Troi’s mysterious pregnancy and Worf suggested an abortion in tng2x01 ""The Child"", but Troi would have none of it."
outmoded sexist attitudes	the battle of the sexes	society			Attitudes and actions that were once normal but are now seen intolerably sexist are featured.	
sexism in society	the battle of the sexes	society			Prejudice against someone because of their gender is featured.	
Spock vs. woman	the battle of the sexes	society			There is competition between Spock and a woman, and emphasis on the different advantages and disadvantages associated with their respective biologies.	Leila tried in vain to win the cold logical heart of Spock in tos1x25 “This Side of Paradise”.
woman in charge	the battle of the sexes	society			The outlandish notion that a woman can be the leader of a group is featured.	
crackpot theory	the domain of faith	the pursuit of knowledge			The category of theories that are presented as scientific, but do not in fact adhere to accepted scientific standards. They range from the Bermuda Triangle and flying saucers, to the idea that the devil was really an alien.	
organized religion	the domain of faith	the pursuit of knowledge			The category of doctrines and practices that tend to be a part of organized religion. They range from beliefs about the afterlife to pronouncements about the end of the world.	
superstition	the domain of faith	the pursuit of knowledge			The category of assorted beliefs that are neither rational nor fall within the typical framework of organized religious activity. They range from faith healing to spirit worship.	
classical philosophy	the domain of reason	the pursuit of knowledge			The category of themes that fall neatly in the traditional domains of philosophy: ethics, metaphysics, aesthetics, and thoughts about human nature.	
modern science	the domain of reason	the pursuit of knowledge			The category of themes that fall within the scope of modern science, i.e., that are about the building and organizing of knowledge in the form of testable explanations and predictions about the universe.	
the art of war	the domain of reason	the pursuit of knowledge			The category of themes that discuss the best ways to conduct fights and warfare. Humanity should be embarrassed that this is such a large theme group.	
the fine arts and the humanities	the domain of reason	the pursuit of knowledge			The category of themes that are about art forms and the study of human society. They range from painting to tap dancing, from calligraphy to stand up comedy, and from rhetoric to anthropology.	
acting	the fine arts and the humanities	the pursuit of knowledge			Someone plays a role in theatre, film, etc.	"Data played Henry V in Shakespeare's play of the same name on the holodeck in tng3x10 ""The Defector""."
art appreciation	the fine arts and the humanities	the pursuit of knowledge			How best to appreciate art is discussed.	
art criticism	the fine arts and the humanities	the pursuit of knowledge			Art is discussed critically.	"Data found evidence of ""unsettling overtones of proto-Vulcan influences"" in Picard's painting of a nude model in tng3x14 ""A Matter of Perspective""."
calligraphy	the fine arts and the humanities	the pursuit of knowledge			Decorative hadwriting is featured.	"Keiko O'Brien fondly recalled having helped her grandmother to create Japanese calligraphic writings in tng5x12 ""Violations""."
film appreciation	the fine arts and the humanities	the pursuit of knowledge			How best to appreciate films is discussed.	Edith Keeler wanted to catch a Clark Gable film with Captain Kirk in tos1x28 “The City on the Edge of Forever”, but she got herself hit by a car instead.
literature appreciation	the fine arts and the humanities	the pursuit of knowledge			How best to appreciate litterature is discussed.	"Spock was most impressed with Mr. Flint's taste in literature in tos3x21 ""Requiem for Methuselah""."
music appreciation	the fine arts and the humanities	the pursuit of knowledge			How best to appreciate music is discussed.	
painting	the fine arts and the humanities	the pursuit of knowledge			The art of drawing pictures is featured.	
poetry	the fine arts and the humanities	the pursuit of knowledge			The art of stringing words together is featured.	
rhetoric	the fine arts and the humanities	the pursuit of knowledge			The art of speaking to a group of people is featured.	"Data tried every rhetorical trick in the book on the stubborn colonists of Tau Cygna V the in tng3x02 ""The Ensigns of Command"", but they insisted they’d rather stay and die fighting the Sheliak."
sculpture	the fine arts and the humanities	the pursuit of knowledge			The art of shaping materials is featured.	Data sculpted a treble clef at breakneck speed in tng7x17 “Masks”.
stand up comedy	the fine arts and the humanities	the pursuit of knowledge			The art of making a group of people laugh is featured.	"Data tried to learn the art of stand-up comedy on the holodeck in tng2x04 ""The Outrageous Okona"" but not even the juxtaposition of female attire and an amphibian briefcase could make him laugh."
tap dancing	the fine arts and the humanities	the pursuit of knowledge			The art of punishing parquetry using wooden shoes is featured.	Beverly “the dancing doctor” put her tap dancing skills on display in tng4x11 “Data's Day”.
the theater	the fine arts and the humanities	the pursuit of knowledge			The art of playing out stories live is featured.	
theater of the absurd	the fine arts and the humanities	the pursuit of knowledge			The art of playing out absurdist fiction live is featured. Absurdism revolves around existentialism and the idea that human existence has no particular meaning.	"Kirk and his team in tos2x12 ""I, Mudd"" found that such theater does not compute and is therefore an excellent weapon against androids."
challenges in life	the human condition	the human condition			The category of themes about problems that we have to face in life. They are further subdivided according to how we must normally strive to deal with them: To endure and not despair, to overcome and not succumb, or to fight rather than flee.	
human personality	the human condition	the human condition			The category of themes that are about individual mental states. They are further subdivided into those that deal with plain dispositions to others, individual emotions, general states of mind, and broader characteristics.	
purpose in life	the human condition	the human condition			The category of themes that are about what drives us and makes us act with what we perceive as “purpose”. These are themes about our aspirations and needs, pleasures and cherished beliefs.	
social interaction	the human condition	the human condition			The category of themes that relate to how humans interact with each other as pairs or groups, or with themselves on a high mental level. These are further subdivided according to the subject of interaction: family, other groups, other individuals, or ones self.	
the domain of faith	the pursuit of knowledge	the pursuit of knowledge			The category of themes that are about faith, i.e., beliefs that are held to be a matter of instinct or revelation and not subject to rational inquiry by arrogant scientists.	
the domain of reason	the pursuit of knowledge	the pursuit of knowledge			The category of themes that are about the investigation of how the world works by means of logic and the scientific method, i.e., observation and experimentation.	
abiogenesis	topics in science	the pursuit of knowledge			The natural process by which life is thought to have arisen from non-living matter such as simple organic compounds.	"Q brought Captain Picard back in time and showed him the bubbling pool of ooze from which the first complex organic molecules on Earth would emerge in tng7x25 ""All Good Things...""."
alcohol metabolism	topics in science	the pursuit of knowledge			The process by which the body rids itself of alcohol and, in particular, the time it takes to “sober up”.	"Captain Picard explained to Dirgo that alcohol would not quench their thirst but would rather aggravate it in tng4x09 ""Final Mission""."
asteroid deflection	topics in science	the pursuit of knowledge			A collection of methods by which an asteroid could be diverted from colliding with a planetary target.	"After the Enterprise had spectacularly failed to divert an asteroid, Captain Kirk accidentally activated an ancient asteroid deflecting device on the planet’s surface in tos3x03 ""The Paradise Syndrome""."
basic calculus	topics in science	the pursuit of knowledge			A large and important area of mathematics with applications in all fields of science and engineering.	"Young Harry did not understand why he had to study calculus in tng1x17 ""When The Bough Breaks"". He would much rather have spent his time sculpting dolphins."
cell division	topics in science	the pursuit of knowledge			The process by which a parent cell divides into two or more daughter cells. There are three types of cell division: binary fission, mitosis, and meiosis.	The giant space amoeba was poised to divide into two giant space amoebas in tos2x19 “The Immunity Syndrome”.
computer-aided mathematical model simulation	topics in science	the pursuit of knowledge			The simulation of a system as represented by a mathematical model on computer that is usually too complicated to find analytical solutions.	"Geordi and Leah Brahms used such fancy maths to save the day in tng3x06 ""Booby Trap""."
counterfactuals	topics in science	the pursuit of knowledge			A conditional statement containing an if-clause which is contrary to fact. For example: If I had only brought along an umbrella, then I would be dry.	
deductive logic	topics in science	the pursuit of knowledge			The top-down process of reasoning from one or more general laws to reach a particular conclusion with logical certainty.	
DNA encoded message	topics in science	the pursuit of knowledge			The idea of using DNA, which encodes the genetic instructions used in the development of functioning of all known organisms, to encode a conventional message.	"A secret message was found encoded in pieces in the DNA of numerous separate humanoid alien species in tng6x20 ""The Chase""."
exponential growth	topics in science	the pursuit of knowledge			A very rapid kind of growth by which the amount of a quantity increases at a rate proportional to the amount already present.	
Fermat's last theorem	topics in science	the pursuit of knowledge			An interesting mathematical eeuqtion famously conjectured by Pierre de Fermat in 1637 in a margin of a copy of Arithemetica, where he claimed he had a proof that was too large to fit in the margin.	Picard tried to prove this age-old theorem in his readyroom in tng2x12 “The Royale”.
Fourier series	topics in science	the pursuit of knowledge			A way to represent a wave-like function as a combination of simple sine waves, named in honor of Jean-Baptiste Joseph Fourier.	Data revealed that the blinking patterns of some Soong-type androids, although seemingly random, were in fact governed by Fourier series, in tng7x10 “Inheritance”.
general relativity	topics in science	the pursuit of knowledge			A theory of gravitation proposed by Albert Einstein that generalizes special relativity and Newton’s law of universal gravitation, providing a unified description of gravity as a geometric property of space and time.	"Holographic recreations of Stephen Hawking, Isaac Newton, and Albert Einstein quibbled about this and other things in tng6x26 ""Descent""."
generation loss	topics in science	the pursuit of knowledge			The loss of quality that occurs between subsequent copies of something, as is observed with photocopy of a photocopy of a photocopy. In the natural world, natural selection tends to mitigate this effect.	"The repeated cloning of people illustrated this principle in tng2x18 ""Up The Long Ladder""."
geometric growth	topics in science	the pursuit of knowledge			A sequence of numbers where each term after the first is obtained by multiplying the previous one by a non-zero constant.	Sulu explained how Gary Mitchell's psychic ability was increasing geometrically in tos1x01 “Where No Man Has Gone Before”.
human body composition	topics in science	the pursuit of knowledge			The human body is 65% oxygen, 18% carbon, 10% hydrogen, 3% nitrogen, and 4% other elements as measured by mass.	
humanoid evolution	topics in science	the pursuit of knowledge			The actual past hominid evolution on Earth, and the the hypothetical past or future humanoid-alien evolution in space.	
inductive logic	topics in science	the pursuit of knowledge			The bottom-up process of reasoning where by observed particular instances lend support to broader general laws.	"Geordi correctly inferred the location of an object by performing a vector analysis on the shadow it cast in tng4x18 ""Identity Crisis""."
Lagrange point	topics in science	the pursuit of knowledge			One of five points in the plane of orbit of one body around another, e.g., the earth around the sun, at which a small third body can remain stationary with respect to both.	A mysterious warship hid in the Lagrange point behind Rana IV’s farthest moon in tng3x03 “The Survivors”.
Liar's Paradox	topics in science	the pursuit of knowledge			"The statement of a liar who states that they are lying: for instance, declaring that ""I am lying"" or ""everything I say is false"". If they are indeed lying, they are telling the truth, which means they are lying and so on ad infinitum."	Captain Kirk bested the android Norman by skillfully wielding this dangerous piece of otherwise abstract mathematics in tos2x12 “I, Mudd”.
light refraction	topics in science	the pursuit of knowledge			The change of direction in a light wave due to a change in its transmission medium, such as a transition from air to a glass prism.	"The Aldean planetary cloak made use of this scientific principle in tng1x17 ""When The Bough Breaks""."
logarithmic scale	topics in science	the pursuit of knowledge			A scale of measurement that displays the value of a quantity using intervals corresponding to orders of magnitude, like the Richter scale for earthquakes.	"Data and Geordi used a logarithmic scale in tng5x04 ""Silicon Avatar"" to improve image resolution."
non-Euclidean geometry	topics in science	the pursuit of knowledge	mathematics, physics		One of two geometries that arise by relaxing Euclid’s postulate that the angles of a triangle sum to 180 degrees.	
nonlinear systems	topics in science	the pursuit of knowledge			A comparatively complex system in which the output is not directly proportional to the input. Nonlinear systems may appear chaotic in contrast with much simpler linear systems.	"Spock's calculation of the time at which the next “interphase” state would occur was comfounded by nonlineariries in tos3x09 ""The Tholian Web""."
orbital decay	topics in science	the pursuit of knowledge			Every planet has a characteristic minimum orbital altitude, below which orbiting objects experience rapid orbital decay and altitude loss.	"The Enterprise experienced orbital decay around 20th century Earth in tos1x21 ""Tomorrow is Yesterday""."
planet hunting	topics in science	the pursuit of knowledge			A collection of methods for discovering planets outside the Solar System, including direct imaging with telescopes, the radial-velocity method, and the transit method.	"Such methods were employed in tos3x20 ""The Way to Eden"" to search for the mythical planet Eden."
prime numbers	topics in science	the pursuit of knowledge			A number greater than 1 that has no positive divisors other than 1 and itself.	Captain Picard tapped the first six prime numbers into a door panel in tng3x18 “Allegiance”.
randomization	topics in science	the pursuit of knowledge			The practice of thoroughly mixing up a collection of objects so that nobody can tell which is which, like the use of a well-shuffled deck of playing cards at the fizzbin table (c.f. tos2x20 “A Piece of the Action”).	"Worf tacitly questioned Data’s randomization of a deck of cards in tng5x18 ""Cause and Effect""."
soliton wave	topics in science	the pursuit of knowledge			A self-reinforcing wave that maintains its shape while it travels at a constant speed.The Morning Glory Cloud of the Gulf of Carpentaria is one example from nature.	Dr. Ja'Dar developed a soliton wave method of propulsion in tng5x10 “New Ground”.
speed of light limitation	topics in science	the pursuit of knowledge			According to special relativity, the speed of light (c=299,792,458 meters per second) is the maximum speed at which all matter and information in the universe can travel.	"In a rare nod to real astrophysics, Trelane actually saw the Earth as it was centuries earlier when he observed it from Gothos in tos1x18 ""The Squire of Gothos""."
symbiosis	topics in science	the pursuit of knowledge			A mutually beneficial and often long-term interaction between different biological species.	
the butterfly effect	topics in science	the pursuit of knowledge			The notion that a small change in the initial conditions of a system can result in large differences in a later state.	
The Copernican Principle	topics in science	the pursuit of knowledge			This principle, named in honor of Nicolaus Copernicus, states that Earth is not in a central, specially favored position in the universe.	"Mark Twain explained in tng5x26 ""Time's Arrow"" how British naturalist Alfred Russell Wallace had “revived the theory that Earth is at the center of the stellar universe”."
the greenhouse effect	topics in science	the pursuit of knowledge			Certain gasses in the Earth's atmosphere (e.g. carbon dioxide) trap heat from the sun, making the planet hotter than it would be otherwise.	"Global warming is normally viewed as a bad thing, but when Penthara IV got hit by a type C asteroid in tng5x09 ""A Matter of Time"", a dose of the greenhouse effect was in fact the prescribed cure."
the logic of reverse psychology	topics in science	the pursuit of knowledge			The psychology behind the advocacy of one course of action in such a way as to persuade someone to take an opposite course.	Data contemplated the use of reverse psychology to persuade the colonists of Tau Cygna V to evacuate before the Sheliak arrived in tng3x02 “The Ensigns of Command”.
the placebo effect	topics in science	the pursuit of knowledge			The phenomena where patients given a placebo treatment have a perceived or actual improvement in a medical condition.	"In the end the Mudd's women found that it was the confidence a drug had inspired that made them beautiful rather than the drug itself in tos1x03 ""Mudd's Women""."
the science of anti-matter	topics in science	the pursuit of knowledge			Matter composed of anti-particles, which have the same mass as particles of ordinary matter but opposite charge. Also there can be big explosions.	"The danger of trying to mix matter with anti-matter was explained in tos1x20 ""The Alternative Factor""."
the scientific method	topics in science	the pursuit of knowledge			A body of techniques that rely on reasoning from empirical observations for investigating various phenomena in nature.	
the seeding of space with life	topics in science	the pursuit of knowledge			The hypothesis that life exists throughout the universe and is distributed naturally by asteroids and comets or perhaps even at the direction of aliens.	
the theory of everything	topics in science	the pursuit of knowledge			A hypothetical all-encompassing theory of physics that fully explains and links together all physical aspects of the universe.	"Barclay had a heated discussion with a virtual Albert Einstein about this theory on the holodeck in tng4x19 ""The Nth Degree""."
the theory of evolution	topics in science	the pursuit of knowledge			The process of change in all forms of life over generations that is characterized by mutation, genetic drift, and natural selection.	
the value of pi	topics in science	the pursuit of knowledge			3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460...	"Wily Spock ordered the computer to compute pi to the last digit in tos2x07 ""Wolf in the Fold""."
the value of product testing	topics in science	the pursuit of knowledge			A process of measuring the properties and performance of products that helps to increase consumer protection by checking the claims made by manufacturers.	
the value of testing a hypothesis	topics in science	the pursuit of knowledge			The testing of a hypothesis, i.e., a proposed explanation for a phenomena, has proved essential to science and the search for truth.	
the vastness of the universe	topics in science	the pursuit of knowledge			"Doctor McCoy sums it up best in tos1x08 ""Balance of Terror"": "" In this galaxy, there's a mathematical probability of three million Earth-type planets. And in all of the universe, three million million galaxies like this. And in all of that, and perhaps more, only one of each of us. Don't destroy the one named Kirk."""	"MyCoy waxed lyrical in tos1x08 ""Balance of Terror"" on the likelihood of three million Earth-like planets in the Milky Way, and three million million galaxies like it in all the universe, but only one Captain Kirk."
transcendental numbers	topics in science	the pursuit of knowledge		the value of pi	A number that is not a root of a non-zero polynomial equation with rational coefficients.	"Spock explained that pi is a transcendental number in tos2x07 ""Wolf in the Fold""."
the biology of high yield grain	topics in technology	the pursuit of knowledge			High-yield grain is any variety of ordinary grain that has been bred, genetically modified, or fertilized to increase yield amounts.	"Quadrotriticale was a genetically engineered hybrid of wheat and rye developed in 20th century Canada and a favorite food of tribbles in tos2x13 ""The Trouble with Tribbles""."
the chemistry of gunpowder	topics in technology	the pursuit of knowledge			Gunpowder is a mixture of sulfur, charcoal, and potassium nitrate (saltpeter) with the sulfur and charcoal acting as fuels, while the saltpeter functions as an oxidizer.	"Captain Kirk knew this well and used the knowledge to defeat his Gorn enemy in the legendary fight to the death in tos1x19 ""Arena""."
the mechanics of firearms	topics in technology	the pursuit of knowledge			Typically, the pulling of a trigger causes a hammer to snap forward and trigger an explosion (of some sort) that propels a bullet out from an elongated metal barrel at high velocity and in the direction of a designated target.	The Klingons supplied primitive townspeople on planet Neural with increasingly advanced firearms with which to wage war against the local hill people in tos2x16 “A Private Little War”.
the science of oil lamps	topics in technology	the pursuit of knowledge			At the heart of it an oil lamp is nothing more than an oil-filled receptacle with a wick sticking out of it. The lighting of the lamp results in a steady flame being emitted from the tip of the wick.	"Kirk impressed the space Native Americans of planet Amerind by inventing an oil lamp in tos3x03 ""The Paradise Syndrome"" while suffering from amnesia."
the workings of computers	topics in technology	the pursuit of knowledge			Those electronics-filled boxes that we rely on to run our lives.	Duotronic computer technology had supplanted conventional transistor based computing in the Federation by the 23rd century in tos2x24 “The Ultimate Computer”.
the workings of irrigation	topics in technology	the pursuit of knowledge			Any of a number of technologies developed over the ages to supply controlled amounts of water to crops at regular intervals.	"Captain Kirk, while suffering from amnesia, had plans to irrigate Amerind in tos3x03 ""The Paradise Syndrome""."
life choice	tough decision	the human condition			The category of tough decisions that involve choices that are hard, not because of ethical issues or uncertainty regarding the outcome, but because we do not quite know what we ourselves desire. A typical example is “career choice”.	
personal ethical dilemma	tough decision	the human condition			The category of tough decisions that involve choices that are hard because they involve moral considerations. Would you, for example, let another person die if that was the only way to save your own life?	
personal practical dilemma	tough decision	the human condition			The category of tough decisions that involve choices that are hard, not because of moral considerations or preferences but simply because the effect of possible choices are less than clear. A typical example is “risk taking vs. playing it safe”: high risk with high reward, or low risk with low reward.	
diplomacy	transnational social issue	society			The category of transnational social issues that centre on the peaceful interaction between sovereign factions in the form of discussion, trade, and posturing as opposed to threats and brute force.	
war	transnational social issue	society			The category of themes that centre on sovereign factions, usually state-like entities but sometimes armed rebels etc., taking up arms against each other for one reason or another. 	
anger	unpleasant emotion	the human condition	Plutchik-emotion	annoyance, rage	"A character exhibits displeasure or vexation to a point that rises above mere ""annoyance"", but is not quite so intense that they fall into a ""rage"", loose control of themself, and start smashing glass tables."	"Leah Brahms was aghast to find that Geordi had simulated her on the holodeck in tng4x16 ""Galaxy’s Child""."
annoyance	unpleasant emotion	the human condition	Plutchik-emotion	anger, rage	"Someone has a feeling of irritation that borders on mild ""anger""."	"Captain Picard was rather annoyed with Mot the barber for giving his two cents on Federation-Romulan relations in tng5x03 ""Ensign Ro""."
apprehension	unpleasant emotion	the human condition	Plutchik-emotion	fear, terror	"Someone experiences mild anxiety about the near future, but it falls short of being genuine ""fear""."	"Scotty was apprehensive about something feeling wrong with the Enterprise engines in tos3x14 ""That Which Survives"". The chief engineer was summarily advised by Spock to "" avoid emotionalism and simply keep your instruments correct""."
boredom	unpleasant emotion	the human condition	Plutchik-emotion	ennui, disgust, loathing	"Someone feels compelled to give attention to something or someone for which they have contempt or disinterest, but do not feel ""disgust"" over."	"Reading the 20th century novel ""Hotel Royale"" bored Captain Picard nearly to death in tng2x12 ""The Royale""."
despair	unpleasant emotion	the human condition			Someone feels that all hope is gone.	
disgust	unpleasant emotion	the human condition	Plutchik-emotion	boredom, loathing	"Someone feels revolted; either morally for something that is against their consciousness or pathologically because of something that is repulsive. This theme is used as a middleground between ""boredom"" and flat out ""loathing""."	"Lwaxana was visibly disgusted performing oo-mox, an erotic ear massage, on DaiMon Tog in tng3x24 ""Ménage à Troi""."
embarrassment	unpleasant emotion	the human condition			Someone feels ashamed or self-conscious about themself in front of others.	"Spock was mortified at the prospect of having to explain the nature of his secret Vulcan mating urges to Captain Kirk in tos2x05 ""Amok Time""."
fear	unpleasant emotion	the human condition	Plutchik-emotion	apprehension, terror	"Someone experiences anxiety about the near future in a way that rises above ""apprehension"", but is not so intense that they loose self-control and scream out in ""terror"". This theme is typically used when a character percieves a clear and present physical danger."	Beverly revealed her fear of heights to Captain Picard in tng7x08 “Attached”.
fear for one's life	unpleasant emotion	the human condition			A character is terrified because there is a chance that they may soon be killed or otherwise die.	
fear of an unknown future	unpleasant emotion	the human condition			A character is afraid owing to the prospect of an uncertain and unfamiliar future.	
fear of the unknown	unpleasant emotion	the human condition			A character is afraid because they have encountered something that is foreboding but unknown.	
frustration	unpleasant emotion	the human condition			Someone exhibits irritation as a consequence of being unable to influence events or achieve what they desire.	Sirna Kolrami forfeited a game of Strategema against Data in frustration in tng2x21 “Peak Performance”.
grief	unpleasant emotion	the human condition	Plutchik-emotion	pensiveness, sadness	"A character exhibits that deep ""sadness"" which comes with loosing someone near and dear. This typically involves the rending of garments and shedding of tears as the character loses self-control."	Captain Kirk both rued and lamented the loss crewman Hendorff in tos2x09 “The Apple”. Hendorff, a token redshirt, was shot with poison darts by a pod plant.
loathing	unpleasant emotion	the human condition	Plutchik-emotion	boredom, disgust	"Someone exhibits a feeling of ""disgust"" so intense that it cannot be concealed or suppressed."	"Worf loathed Duras and his entire house in tng4x07 ""Reunion""."
loneliness	unpleasant emotion	the human condition			Someone feels bad because they lack friends and meaningful companionship.	
pensiveness	unpleasant emotion	the human condition	Plutchik-emotion	sadness, grief	"Someone is engaged in deep and somber thought with mild undertones of ""sadness""."	"Ensign Garrovick sulked in his quarters after he was reprimanded by Captain Kirk for having waited too long to fire on a vampiric cloud creature in tos2x18 ""Obsession""."
rage	unpleasant emotion	the human condition	Plutchik-emotion	annoyance, anger	"Someone is experiences ""anger"" to the extent that they are about to loose control and start smashing teeth or tables."	Enraged, Worf smashed Geordi’s mandolin to smithereens in tng4x20 “Qpid”.
remorse	unpleasant emotion	the human condition			Someone feels regret for a past action that they have come to see as morally wrong, or for a mistake they should have been able to avert.	
sadness	unpleasant emotion	the human condition	Plutchik-emotion	pensiveness, grief	"Someoner feels a degree of sorrow for one reason or another that borders between ""pensiveness"" and outright ""grief""."	The Enteprise crew was saddened to learn that McCoy had been diagnosed with xenopolycythemia, a rare and terminal illness, in tos3x10 “For the World is Hollow and I Have Touched the Sky”.
shame	unpleasant emotion	the human condition			Someone feels bad because of past actions of theirs that they have come to think were wrong, or because they have an unbecoming outwards appearance.	
terror	unpleasant emotion	the human condition	Plutchik-emotion	apprehension, fear	"Someone experiences ""fear"" to the point of panic, i.e., they freeze up or otherwise loose control of themself."	Ensign Haskell died of sheer terror in tng2x02 “Where Silence Has Lease”.
free love utopia	utopia	alternate reality			Society is seemingly paradisical because everyone in it shares their love freely without restraint, shame, or envy.	"The hedonistic Edo from the planet Rubicun III shared their love freely with anyone who happened to pass by as long (as long as they were of age) in tng1x08 ""Justice""."
genetic engineering utopia	utopia	alternate reality			Society is supposedly made perfect through the careful removal of anything undesirable in our genomes.	
human v2.0	utopia	alternate reality			Society is supposedly made perfect by the introduction of a new breed of human, i.e., version 2.0. Out with the old, in with the new.	Dr. Roger Korby had a dream in tos1x09 “What Are Little Girls Made Of?” that one day mortal human boys and girls will be mind-transfered into the bodies of immortal android boys and girls.  
kill all humans utopia	utopia	alternate reality			Society is made perfect by the removal of its one failing component: mankind.	"Lore and his loyal Borg minions wanted to wipe out the human scourge and make the universe a perfect place in tng7x01 ""Descent, Part II""."
kumbayah utopia	utopia	alternate reality			Society is seemingly paradisical because everyone just stops being a jerk. 	"The tiny alternate universe time continuum Elysia was a veritable utopia where everyone simply got along in tas1x12 ""The Time Trap""."
machine controlled society	utopia	alternate reality			Society is supposedly ideal thanks to being controlled by machines that go about optimizing everybody’s well-being in the best way possible.	
master race controlled society	utopia	alternate reality			Society is supposedly ideal because it is controlled by an exalted race of individuals who are just better than the rest.	"The plant-like Phylosians were so superior that they once decided to take control of the galaxy for its own good, we were told, in tas1x07 ""The Infinite Vulcan"". The attempt was abortive."
neo-luddist utopia	utopia	alternate reality			Society goes back to the perfect state it was once in, after the root of all evil has been made away with: machinery.	
noble savage utopia	utopia	alternate reality			Society is bliss because it is made up of noble savages who live as one with nature etc., never mind antibiotics and such pointless luxeries.	
Plato's Republic	utopia	alternate reality			Society is supposedly ideal because it is controlled by a class of exalted individuals who are just wiser than the rest.	"The Platonians of tos3x12 ""Plato's Stepchildren"" modelled their society on this Platonic ideal."
utopia on the back of android labor	utopia	alternate reality	AI		Society is perfect thanks to an army of androids that fullfill our every wish.	"An army of obedient androids stood ready to bring utopia to the galaxy but were stopped by Captain Kirk and a well aimed logical paradox in tos2x12 ""I, Mudd""."
utopia on the back of slave labor	utopia	alternate reality			Society is perfect thanks to an army of slaves that just take care of every distasteful chore.	
humanoid rights	values and ethics in society	society			The category of themes that centre around basic rights we believe should be awarded to all human(oid)s irrespective of political circumstances or differences in nationality, religion, ethnicity, etc. 	
medical ethics	values and ethics in society	society			The category of themes that highlight ethical questions in medicine. These are awarded its own category due to their popularity in contemporary fiction. Most of us will, after all, be hospitalized at some point in our life.	
social dichotomy	values and ethics in society	society			The category of themes that compare two distinct ideologies of social order directly against each other. Such discourse has been present at least since ancient Greek days, but is perhaps more recognizable today through the example of the “liberal vs. conservative”.	
social ethical dilemma	values and ethics in society	society			The category of themes that highlight tough trade-offs between different ethical considerations in the shaping of government policy and norms of conduct between nations. 	
social order	values and ethics in society	society			The category of themes themes that represent various ideas about how society could, should, or shouldn't be organized. Here is contained orations about the pros and cons of political ideologies, such as fascism, democracy, communism, etc.	
AI point of view	views and customs	society	AI		We are shown what things might be like from the point of view of a sentient machine.	
alien customs	views and customs	society	culture, aliens		We are shown possible alternative customs and traditions that perhaps make us take our own convictions less for granted.	
alien morals	views and customs	society	aliens		We are shown possible alternative systems of morality that perhaps make us take our own convictions less for granted.	
alien point of view	views and customs	society			We are shown what things might be like from the point of view of an alien species.	
alternate points of view	views and customs	society			We are shown what things might be like from other peoples’ points of view.	
attitude towards the dead	views and customs	society			We are shown possible ways of thinking about death and the departed.	Most of us feel a measure of respect for the body of a late compatriot, but the Klingons in tng1x20 “Heart of Glory” demonstrated complete disregard for the empty husk of a corpse their friend had recently departed.
beauty is in the eye of the beholder	views and customs	society			We are shown that the perception of what is beautiful or not depends on the observer. What is pretty to one may be ugly to another.	"The grotesque looking Horta alien thought that it was the humans that should be pitied for their unsightly appearance in tos1x26 ""The Devil in the Dark""."
child's point of view	views and customs	society			We are shown what things might be like from the point of view of a child.	
delusional point of view	views and customs	society			We are shown what things might be like from a mentally ill person’s point of view.	
enemy point of view	views and customs	society			We are simultaneously shown what things may be like from the respective viewpoints of two factions that see each other as enemies.	
future point of view	views and customs	society			We are shown what things might seem like in the here and now if viewed from a future person’s perspective.	
incorporeal point of view	views and customs	society			We are shown what things might be like from the point of view of an entity that does not itself have a material body.	"Ian, the embodiment of a benign incorporeal entity, saw life on the Enterprise-D through incorporeal eyes in tng2x01 ""The Child"". Note that Ian literally had eyes, but he viewed through them in a figurative manner."
past point of view	views and customs	society			We are shown what things might seem like in the here and now if viewed from a past person’s perspective.	
primitive point of view	views and customs	society			We are shown what things might be like from the point of view of a person that comes from a technologically less advanced culture than our own.	
science as magic to the primitive	views and customs	society			It is illustrated how people of a less advanced culture may perceive the science and technology of a more advanced culture as being, for all intents and purposes, magic. It is something outside the primitives’ understanding of the world.	
shades of gray	views and customs	society			We are shown that moral questions are often not black and white but have many coherent and potentially valid viewpoints in between the extremes.	
terrorist or freedom fighter	views and customs	society			We are shown that a group that is seen as vicious terrorists by some may well be seen as heroic freedom fighters by others.	
